num_files	year	N
158	2024	65
159	2014	146
159	2015	2
159	2016	27
159	2017	40
159	2018	25
159	2019	24
159	2020	62
159	2021	131
159	2022	53
159	2023	5
159	2024	66
160	2014	151
160	2015	2
160	2016	28
160	2017	40
160	2018	26
160	2019	24
160	2020	62
160	2021	128
160	2022	50
160	2023	5
160	2024	63
161	2014	140
161	2015	2
161	2016	29
161	2017	42
161	2018	26
161	2019	24
161	2020	58
161	2021	119
161	2022	54
161	2023	5
161	2024	63
162	2014	136
162	2015	2
162	2016	26
162	2017	40
162	2018	26
162	2019	24
162	2020	57
162	2021	126
162	2022	50
162	2023	5
162	2024	62
163	2014	142
163	2015	2
163	2016	25
163	2017	39
163	2018	26
163	2019	24
163	2020	57
163	2021	128
163	2022	58
163	2023	5
163	2024	66
164	2014	146
164	2015	2
164	2016	28
164	2017	44
164	2018	27
164	2019	25
164	2020	57
164	2021	135
164	2022	56
164	2023	5
164	2024	65
165	2014	144
165	2015	2
165	2016	28
165	2017	41
165	2018	26
165	2019	26
165	2020	55
165	2021	127
165	2022	55
165	2023	5
165	2024	64
166	2014	140
166	2015	2
166	2016	25
166	2017	41
166	2018	26
166	2019	27
166	2020	61
166	2021	131
166	2022	53
166	2023	5
166	2024	63
167	2014	144
167	2015	2
167	2016	26
167	2017	41
167	2018	26
167	2019	25
167	2020	61
167	2021	128
167	2022	52
167	2023	5
167	2024	62
168	2014	147
168	2015	2
168	2016	26
168	2017	42
168	2018	26
168	2019	24
168	2020	61
168	2021	133
168	2022	57
168	2023	5
168	2024	64
169	2014	150
169	2015	2
169	2016	27
169	2017	43
169	2018	26
169	2019	26
169	2020	62
169	2021	129
169	2022	57
169	2023	5
169	2024	64
170	2014	140
170	2015	2
170	2016	29
170	2017	42
170	2018	26
170	2019	26
170	2020	64
170	2021	129
170	2022	51
170	2023	5
170	2024	62
171	2014	144
171	2015	2
171	2016	29
171	2017	43
171	2018	26
171	2019	23
171	2020	64
171	2021	131
171	2022	52
171	2023	5
171	2024	57
172	2014	144
172	2015	2
172	2016	27
172	2017	42
172	2018	26
172	2019	25
172	2020	58
172	2021	127
172	2022	52
172	2023	5
172	2024	66
173	2014	144
173	2015	2
173	2016	28
173	2017	41
173	2018	26
173	2019	26
173	2020	58
173	2021	132
