id	fragment_scans	mz	rt	height	has_MSMS_scan
8748	0	102.69677	12.6839	634900	FALSE
8759	0	982.27744	12.7283	1787000	FALSE
8761	1	341.36077	12.7265	174900	TRUE
8762	20	1148.32605	12.7083	9985000	TRUE
8763	0	983.27711	12.7241	1036000	FALSE
8764	0	984.27559	12.7254	578100	FALSE
8765	0	985.27583	12.7309	250800	FALSE
8769	1	359.37146	12.7077	1055000	TRUE
8775	7	981.27915	12.7579	1920000	TRUE
8778	18	980.27852	12.766	2156000	TRUE
8791	17	314.34182	12.7921	506900	TRUE
8797	5	980.27843	12.8372	1564000	TRUE
8798	1	981.27904	12.8409	1491000	TRUE
8800	0	982.27753	12.845	1315000	FALSE
8822	0	983.27723	12.8887	756200	FALSE
8824	42	980.27844	12.8882	1387000	TRUE
8829	11	981.27913	12.9046	1231000	TRUE
8846	2	982.27729	12.9194	1292000	TRUE
8848	0	984.27588	12.9374	415700	FALSE
8851	11	980.27837	12.9416	1546000	TRUE
8853	1	983.27705	12.9481	770200	TRUE
8856	0	985.2747	12.9687	186400	FALSE
8882	9	981.27908	12.9663	1501000	TRUE
8969	1	836.23779	13.2827	784100	TRUE
9019	0	1004.28501	13.4849	309400	FALSE
9086	1	929.42707	13.6758	478400	TRUE
9107	13	928.42525	13.6987	550700	TRUE
9205	4	848.27171	14.2725	1367000	TRUE
9437	2	368.8847	14.7511	504900	TRUE
9443	12	195.99345	14.7575	9686000	TRUE
9447	6	256.9299	14.7503	706000	TRUE
9453	4	165.98287	14.7579	1978000	TRUE
9463	5	324.91743	14.7555	784200	TRUE
9467	4	196.9968	14.756	556300	TRUE
40	0	128.02197	1.0715	8826000	FALSE
46	0	129.01513	1.0725	2579000	FALSE
49	0	128.01644	1.0674	4615000	FALSE
52	18	265.01563	1.069	25100000	TRUE
59	0	153.03936	1.0694	6267000	FALSE
60	0	151.0391	1.0711	4329000	FALSE
67	28	219.98436	1.0704	30500000	TRUE
71	7	243.00019	1.0711	23470000	TRUE
75	18	243.99721	1.0714	29320000	TRUE
82	0	112.01279	1.0715	5810000	FALSE
85	11	220.98121	1.0719	37370000	TRUE
87	15	157.01496	1.072	7943000	TRUE
92	6	123.0138	1.0709	3326000	TRUE
93	0	110.00646	1.0728	12200000	FALSE
94	15	168.05052	1.0716	3750000	TRUE
100	3	110.01117	1.0712	5940000	TRUE
107	46	151.0088	1.0729	6818000	TRUE
116	0	130.02341	1.0731	5299000	FALSE
125	15	134.99571	1.0742	7833000	TRUE
126	0	152.03231	1.0709	4144000	FALSE
128	9	102.02183	1.0743	3576000	TRUE
129	21	154.03616	1.0723	4022000	TRUE
130	18	174.02473	1.0737	4836000	TRUE
131	35	158.01171	1.0749	8710000	TRUE
132	15	133.99898	1.0751	7050000	TRUE
133	1	125.03785	1.0723	3960000	TRUE
137	3	115.98835	1.0738	4091000	TRUE
157	41	234.96119	1.0797	13060000	TRUE
167	40	198.94003	1.0803	43530000	TRUE
221	49	147.1128	1.1314	179200000	TRUE
233	6	242.92547	1.1448	9003000	TRUE
307	21	175.11892	1.1826	287300000	TRUE
347	31	106.04979	1.1987	197100000	TRUE
380	31	134.04474	1.2069	292400000	TRUE
394	3	265.02307	1.2322	1295000	TRUE
470	50	120.06546	1.234	269200000	TRUE
479	1	120.10181	1.2323	1200000	TRUE
510	36	198.0972	1.2453	17470000	TRUE
511	31	203.0526	1.2453	11220000	TRUE
589	2	118.08202	1.2743	510400	TRUE
590	1	139.06696	1.2727	665800	TRUE
591	0	233.16148	1.2822	2056000	FALSE
595	36	115.0389	1.2726	1780000	TRUE
604	4	117.08497	1.2754	41940000	TRUE
687	41	115.03652	1.2971	8678000	TRUE
696	9	127.05018	1.2975	4153000	TRUE
712	20	161.0295	1.3017	6609000	TRUE
713	20	192.9794	1.3022	5379000	TRUE
774	23	162.11246	1.322	10590000	TRUE
791	2	133.05961	1.3226	2183000	TRUE
812	58	104.10692	1.3387	144100000	TRUE
872	10	172.94273	1.3907	338000	TRUE
981	24	176.10304	1.4332	4094000	TRUE
1114	18	138.05496	1.5019	12050000	TRUE
1471	35	138.09135	1.6979	3619000	TRUE
1526	16	186.07609	1.7705	2318000	TRUE
1531	13	138.05496	1.7697	1483000	TRUE
1532	1	144.06555	1.7702	622600	TRUE
1545	1	129.07442	1.773	511900	TRUE
1644	11	142.06253	1.8723	1814000	TRUE
1646	63	137.04577	1.8732	545700000	TRUE
1663	1	164.04448	1.8752	678000	TRUE
1674	36	166.08625	1.886	2841000	TRUE
1754	30	130.04988	1.986	4118000	TRUE
1844	85	182.08111	2.0934	646400000	TRUE
1847	26	107.04899	2.0925	1810000	TRUE
1855	58	188.10125	2.0929	6091000	TRUE
1870	13	171.07475	2.094	1071000	TRUE
1873	9	142.09582	2.0948	1067000	TRUE
1890	17	113.02326	2.1035	1618000	TRUE
1897	1	187.09798	2.0913	477000	TRUE
1913	9	202.18014	2.1269	1613000	TRUE
1973	26	186.07608	2.2123	2299000	TRUE
2036	1	138.12192	2.3033	451000	TRUE
2043	25	158.08118	2.3718	1791000	TRUE
2052	2	144.10192	2.39	517900	TRUE
2139	1	129.04427	2.6491	772700	TRUE
2144	3	160.13323	2.6338	959600	TRUE
2170	17	211.00267	2.6671	3090000	TRUE
2236	20	166.08627	2.703	13750000	TRUE
2245	4	226.97503	2.6706	1750000	TRUE
2248	25	186.0761	2.7068	9610000	TRUE
2259	24	226.10744	2.7148	28770000	TRUE
2373	4	142.0863	2.7854	1732000	TRUE
2377	71	137.0458	2.7666	12820000	TRUE
2380	3	138.09137	2.7682	1256000	TRUE
2383	1	182.11758	2.7694	963700	TRUE
2397	4	170.08118	2.7745	1597000	TRUE
2454	2	130.04989	2.8289	1106000	TRUE
2502	2	217.10466	2.8451	885100	TRUE
2511	1	189.04349	2.869	479700	TRUE
2622	14	145.05061	2.9152	4428000	TRUE
2649	6	138.09137	2.9251	1093000	TRUE
2708	1	173.10974	3.0406	513600	TRUE
2731	21	172.10633	3.0421	15470000	TRUE
2736	42	120.08071	3.0421	632400000	TRUE
2888	1	145.13357	3.1888	773500	TRUE
2933	5	138.05498	3.2447	941100	TRUE
2981	1	231.08391	3.3027	1046000	TRUE
2994	1	138.12775	3.3232	1030000	TRUE
3059	29	226.10745	3.4073	12060000	TRUE
3077	8	144.10195	3.4366	1572000	TRUE
3122	6	226.03874	3.527	2236000	TRUE
3174	4	140.1434	3.5964	1661000	TRUE
3231	19	216.13408	3.6871	8505000	TRUE
3234	4	198.10422	3.6891	1264000	TRUE
3240	29	199.10754	3.6875	11020000	TRUE
3300	5	209.13836	3.7856	1002000	TRUE
3304	4	231.12035	3.7896	858400	TRUE
3306	1	254.19626	3.7867	609800	TRUE
3339	16	118.06505	3.8106	5012000	TRUE
3374	1	201.10974	3.8412	203500	TRUE
3564	0	316.21196	4.2965	879400	FALSE
3576	3	223.15407	4.3147	722800	TRUE
3656	10	416.28559	4.5938	5775000	TRUE
3658	12	393.20963	4.5933	3823000	TRUE
3705	2	111.1168	4.7217	1168000	TRUE
