id	fragment_scans	mz	rt	height	has_MSMS_scan
585	1	337.1607	0.9071	589200	TRUE
589	0	290.13933	0.9102	124000	FALSE
590	5	287.12413	0.9187	615000	TRUE
607	0	174.16834	0.9443	1257000	FALSE
613	1	246.08524	0.9605	605800	TRUE
614	2	204.10214	0.9344	2125000	TRUE
621	4	206.09268	0.9632	845300	TRUE
629	0	146.15413	0.9615	76600	FALSE
657	0	177.10232	0.9886	273100	FALSE
659	0	389.20365	0.9985	220700	FALSE
679	0	251.04237	1.0019	718700	FALSE
701	2	272.02099	1.011	545100	TRUE
705	4	269.11356	1.0299	768900	TRUE
725	2	324.12933	1.0971	926300	TRUE
727	0	183.11299	1.0946	490700	FALSE
730	1	231.14553	1.0873	476900	TRUE
732	1	268.10439	1.0992	904000	TRUE
736	0	314.17139	1.1084	374500	FALSE
744	2	275.07563	1.1077	1303000	TRUE
747	0	527.16149	1.1142	494500	FALSE
749	0	165.05821	1.109	516300	FALSE
750	0	253.09349	1.1243	613300	FALSE
753	5	346.1977	1.1191	583600	TRUE
763	2	314.18136	1.1409	537600	TRUE
771	0	296.12452	1.134	274800	FALSE
780	3	348.17698	1.1556	482300	TRUE
784	0	362.15615	1.1626	153400	FALSE
794	1	335.11075	1.1623	253400	TRUE
804	0	170.9966	1.1704	428400	FALSE
805	0	189.00721	1.1768	242900	FALSE
809	4	342.21271	1.1796	684200	TRUE
821	0	214.13818	1.175	205000	FALSE
827	4	310.12888	1.1866	644300	TRUE
830	0	286.14006	1.1958	110100	FALSE
831	6	314.18131	1.1911	597700	TRUE
839	7	213.13484	1.1607	1816000	TRUE
870	2	376.17199	1.2279	248600	TRUE
878	0	221.08986	1.2384	266800	FALSE
887	1	342.16602	1.2443	164400	TRUE
898	0	156.11338	1.2455	155800	FALSE
912	4	173.12872	1.2772	1166000	TRUE
916	0	174.05851	1.2804	103400	FALSE
931	8	362.19265	1.2911	314500	TRUE
935	0	291.17505	1.3063	197100	FALSE
946	3	189.12354	1.3117	5185000	TRUE
947	0	190.12675	1.3142	450700	FALSE
956	0	368.14559	1.3255	120800	FALSE
958	0	211.10529	1.3211	502500	FALSE
959	4	291.09548	1.3258	452300	TRUE
965	0	255.08473	1.3299	85420	FALSE
966	2	260.16086	1.3188	622400	TRUE
967	0	143.11806	1.3216	390400	FALSE
972	3	314.17145	1.3256	559300	TRUE
975	0	264.12341	1.3311	106900	FALSE
983	3	249.12755	1.3431	251600	TRUE
990	0	236.10336	1.3474	92330	FALSE
991	0	253.13006	1.3457	120400	FALSE
1004	0	299.1708	1.347	105300	FALSE
1022	0	293.12221	1.3726	122000	FALSE
1024	0	204.17898	1.3746	190900	FALSE
1038	15	203.17568	1.3763	1653000	TRUE
1046	1	185.16504	1.3763	478200	TRUE
1048	1	138.12789	1.3891	174200	TRUE
1058	6	153.04087	1.3907	1512000	TRUE
1078	2	321.15244	1.4167	486200	TRUE
1101	0	269.14988	1.4364	149200	FALSE
1131	0	180.06299	1.4621	93500	FALSE
1135	0	380.14865	1.4537	75890	FALSE
1153	0	324.14463	1.4681	75970	FALSE
1156	1	274.17637	1.4736	193600	TRUE
1187	0	203.1473	1.4975	69560	FALSE
1188	0	333.17702	1.494	121400	FALSE
1191	0	243.14515	1.5071	188800	FALSE
1192	0	330.16631	1.4885	312200	FALSE
1210	0	334.19758	1.5064	524700	FALSE
1214	0	376.172	1.5083	238400	FALSE
1231	0	291.17514	1.5214	76130	FALSE
1235	0	279.0982	1.5015	294600	FALSE
1241	2	301.13989	1.5207	542700	TRUE
1249	5	286.17651	1.5405	272700	TRUE
1253	8	261.14483	1.5343	1330000	TRUE
1271	0	262.14876	1.5389	146300	FALSE
1272	0	278.08879	1.5389	133500	FALSE
