new_group	annotated_feature	max_area	annotated_feature_f
-3490	Chimeric MS/MS	1315000	Chimeric MS/MS
-3491	Unknown MS/MS	766300	Unknown MS/MS
155	Annotated MS/MS	86470000	Annotated MS/MS
156	Chimeric MS/MS	1375000	Chimeric MS/MS
574	Unknown MS/MS	4798000	Unknown MS/MS
-3516	Unknown MS/MS	1494000	Unknown MS/MS
-3518	Chimeric MS/MS	1011000	Chimeric MS/MS
-3522	Unknown MS/MS	2202000	Unknown MS/MS
-3523	Chimeric MS/MS	1529000	Chimeric MS/MS
157	Chimeric MS/MS	1540000	Chimeric MS/MS
-3530	Chimeric MS/MS	1219000	Chimeric MS/MS
-3531	No MS/MS	1175000	No MS/MS
-3533	Unknown MS/MS	3724000	Unknown MS/MS
575	Annotated MS/MS	7745000	Annotated MS/MS
-3538	Unknown MS/MS	880800	Unknown MS/MS
576	Chimeric MS/MS	8461000	Chimeric MS/MS
158	Unknown MS/MS	20420000	Unknown MS/MS
577	Unknown MS/MS	2966000	Unknown MS/MS
159	Chimeric MS/MS	20270000	Chimeric MS/MS
-3556	Chimeric MS/MS	990000	Chimeric MS/MS
-3557	Unknown MS/MS	4155000	Unknown MS/MS
-3561	Chimeric MS/MS	1089000	Chimeric MS/MS
-3562	Chimeric MS/MS	2749000	Chimeric MS/MS
-3564	No MS/MS	879400	No MS/MS
578	Unknown MS/MS	5809000	Unknown MS/MS
-3566	Unknown MS/MS	1949000	Unknown MS/MS
-3568	Chimeric MS/MS	953500	Chimeric MS/MS
-3571	Unknown MS/MS	1171000	Unknown MS/MS
160	Annotated MS/MS	4300000	Annotated MS/MS
579	Unknown MS/MS	1642000	Unknown MS/MS
580	Chimeric MS/MS	5065000	Chimeric MS/MS
581	Annotated MS/MS	2653000	Annotated MS/MS
-3587	No MS/MS	1153000	No MS/MS
582	Unknown MS/MS	880600	Unknown MS/MS
161	Unknown MS/MS	3950000	Unknown MS/MS
-3595	Unknown MS/MS	9531000	Unknown MS/MS
162	Annotated MS/MS	237700000	Annotated MS/MS
-3610	Unknown MS/MS	3107000	Unknown MS/MS
-3611	Unknown MS/MS	1893000	Unknown MS/MS
583	Unknown MS/MS	10210000	Unknown MS/MS
-3615	Annotated MS/MS	3665000	Annotated MS/MS
584	Unknown MS/MS	11260000	Unknown MS/MS
-3622	Unknown MS/MS	1833000	Unknown MS/MS
585	Unknown MS/MS	5137000	Unknown MS/MS
-3629	Unknown MS/MS	1618000	Unknown MS/MS
163	Annotated MS/MS	10180000	Annotated MS/MS
-3636	Unknown MS/MS	2237000	Unknown MS/MS
-3637	Unknown MS/MS	1689000	Unknown MS/MS
-3639	Unknown MS/MS	4012000	Unknown MS/MS
-3640	Chimeric MS/MS	2471000	Chimeric MS/MS
587	Unknown MS/MS	53030000	Unknown MS/MS
-3645	Unknown MS/MS	2033000	Unknown MS/MS
-3647	Unknown MS/MS	1062000	Unknown MS/MS
-3649	Unknown MS/MS	1570000	Unknown MS/MS
