peak_id,rt,mz,intensity,homologue_id,within_series_id
13491,5.894,421.25962,36010,106,3
13629,6.0141,443.27274,33190,106,4
13726,6.1222,465.28593,28040,106,5
13847,6.2375,487.29904,22290,106,6
13352,5.7314,377.22721,43280,105,1
13443,5.8512,399.24012,53020,105,2
13575,5.9654,421.25331,43610,105,3
13675,6.0746,443.26666,34860,105,4
13782,6.1734,465.27984,24330,105,5
13260,5.6048,372.74292,39180,104,1
13358,5.7322,394.75598,105600,104,2
13465,5.8539,416.7691,191800,104,3
13578,5.9682,438.78218,259700,104,4
13682,6.0749,460.79538,248000,104,5
13789,6.1761,482.80844,247000,104,6
13869,6.2745,504.82157,189700,104,7
13952,6.364,526.83463,146000,104,8
14031,6.4494,548.84785,100200,104,9
14133,6.5358,570.86084,63620,104,10
14197,6.6122,592.87396,35010,104,11
12541,4.5946,372.23103,70350,103,1
12762,4.8294,416.2573,155400,103,2
12905,5.0387,460.28362,206200,103,3
13041,5.2297,504.30982,182500,103,4
13143,5.4051,548.33608,125000,103,5
13239,5.5656,592.36217,70650,103,6
13335,5.7155,636.38846,30660,103,7
24641,10.7929,369.22473,14030,102,1
25569,11.0362,385.2561,17070,102,2
26565,11.3176,401.28737,15610,102,3
27670,11.6722,417.3187,21130,102,4
28613,12.0462,433.35,8768,102,5
13262,5.6055,363.72788,58650,101,1
13360,5.7337,385.74097,122200,101,2
13460,5.8525,407.75406,184800,101,3
13574,5.9668,429.76719,209400,101,4
13679,6.0738,451.78037,165600,101,5
13792,6.1773,473.79349,123600,101,6
13868,6.2717,495.80656,83690,101,7
13951,6.3653,517.81959,52260,101,8
14029,6.4519,539.8328,33010,101,9
12318,4.3492,358.20732,78740,100,1
12586,4.615,402.23355,195400,100,2
12782,4.8514,446.2598,338000,100,3
12930,5.0632,490.286,354400,100,4
13063,5.2554,534.31222,231100,100,5
13154,5.4287,578.33841,143700,100,6
13248,5.5879,622.36461,64710,100,7
13361,5.7347,666.39065,25490,100,8
13286,5.641,356.22314,17850,99,1
13404,5.7808,378.23641,29490,99,2
13512,5.9093,400.24931,48660,99,3
13641,6.0298,422.26251,59250,99,4
13767,6.144,444.27557,56120,99,5
13857,6.2511,466.2889,46880,99,6
13933,6.3515,488.30184,26580,99,7
14037,6.4467,510.31499,19780,99,8
13282,5.6413,355.72195,64420,98,1
13399,5.7793,377.73507,161700,98,2
13514,5.9083,399.74817,216000,98,3
13644,6.0298,421.76128,237700,98,4
13768,6.1441,443.77439,202100,98,5
13854,6.2496,465.78752,165700,98,6
13934,6.3505,487.80061,111000,98,7
14025,6.4467,509.81369,72190,98,8
14131,6.537,531.82681,42130,98,9
14204,6.6241,553.83989,21060,98,10
19600,10.0152,355.26365,76440,97,1
21696,10.3137,401.30496,31690,97,2
23748,10.5799,447.34695,96820,97,3
25022,10.8458,493.38904,80870,97,4
25282,10.9557,539.43082,10430,97,5
27525,11.6087,355.07002,118500,96,1
28261,11.8891,429.08888,24350,96,2
29322,12.2844,503.10765,272600,96,3
30447,12.9119,577.1264,44140,96,4
32321,13.6831,651.14522,13920,96,5
15703,8.1327,353.24761,8542,95,1
16076,8.3601,371.25813,15350,95,2
16555,8.5837,389.2687,15550,95,3
16807,8.8115,407.27932,17160,95,4
17152,9.0165,425.2898,26780,95,5
17334,9.1201,443.30045,36290,95,6
15411,7.8519,353.24759,15020,94,1
15749,8.1299,371.25814,24000,94,2
16047,8.3368,389.26868,11410,94,3
16309,8.5081,407.27929,20910,94,4
16558,8.6672,425.28985,23920,94,5
16907,8.8399,443.30044,27660,94,6
13180,5.4759,350.22801,20530,93,1
13263,5.6063,372.24115,123100,93,2
13357,5.7323,394.25423,285800,93,3
13466,5.8546,416.26738,486600,93,4
13570,5.966,438.28043,623000,93,5
13680,6.0756,460.29364,565700,93,6
13788,6.1764,482.30672,511800,93,7
13867,6.2721,504.31987,375900,93,8
13950,6.3634,526.33295,310300,93,9
14030,6.4505,548.3461,191800,93,10
14130,6.5356,570.35923,122500,93,11
14199,6.6167,592.3723,70790,93,12
14260,6.6886,614.38531,32590,93,13
13283,5.6418,347.20865,32080,92,1
13401,5.7798,369.22173,61590,92,2
13510,5.9074,391.23493,74480,92,3
13642,6.0298,413.24794,66280,92,4
13764,6.1436,435.26109,48710,92,5
13853,6.2487,457.27439,30530,92,6
13935,6.3487,479.28734,17920,92,7
13281,5.6408,346.7069,96970,91,1
13402,5.7798,368.72003,183700,91,2
13516,5.9093,390.73315,206400,91,3
13639,6.0288,412.74626,180400,91,4
13765,6.143,434.75936,134900,91,5
13858,6.2501,456.77256,86050,91,6
13938,6.352,478.78562,44500,91,7
14021,6.4454,500.79864,25510,91,8
12298,4.3279,345.23138,31980,90,1
12544,4.5923,389.25763,330400,90,2
12760,4.8262,433.28391,1103000,90,3
12913,5.0379,477.31014,1920000,90,4
13048,5.2284,521.33639,2174000,90,5
13140,5.402,565.36255,1838000,90,6
13241,5.5661,609.38869,1390000,90,7
13326,5.7139,653.4149,746400,90,8
13450,5.8507,697.44109,325400,90,9
13587,5.9811,741.46727,115000,90,10
13696,6.1008,785.49365,54020,90,11
13830,6.2118,829.52,21300,90,12
17955,9.4226,339.26827,107500,89,1
18218,9.6027,357.27877,22470,89,2
18806,9.8305,375.28939,152100,89,3
20329,10.1433,393.29965,31490,89,4
22781,10.4859,411.31058,37280,89,5
13284,5.6408,338.19357,40230,88,1
13400,5.7793,360.20677,65080,88,2
13513,5.9079,382.21985,57140,88,3
13638,6.0293,404.23297,38380,88,4
13759,6.1412,426.24618,19820,88,5
15874,8.1977,337.2527,7642,87,1
16203,8.457,355.26317,62070,87,2
16873,8.8209,373.2738,17930,87,3
17573,9.2487,391.28437,20550,87,4
18510,9.7517,409.29498,22880,87,5
22691,10.4207,427.30553,42840,87,6
18897,9.8332,337.23506,60230,86,1
19999,10.0916,377.26778,57540,86,2
21498,10.292,417.30003,67730,86,3
22329,10.4187,457.33128,23340,86,4
22872,10.5094,497.36311,20890,86,5
13327,5.7139,336.22566,22040,85,1
13456,5.8517,358.23882,68380,85,2
13593,5.9796,380.2519,68220,85,3
13701,6.1008,402.26509,55260,85,4
13831,6.213,424.27823,47100,85,5
13920,6.3194,446.29135,28140,85,6
13989,6.4195,468.30547,24020,85,7
13336,5.7148,335.72445,130100,84,1
13453,5.8512,357.73758,351400,84,2
13584,5.9801,379.75069,291600,84,3
13695,6.0997,401.76382,244700,84,4
13833,6.2123,423.77692,175500,84,5
13916,6.3197,445.79004,118200,84,6
13995,6.4224,467.80316,72670,84,7
14108,6.5166,489.81629,45040,84,8
14196,6.6111,511.82938,20400,84,9
14287,6.6909,533.84245,11470,84,10
13322,5.7144,335.22271,409300,83,1
13454,5.8507,357.23582,1038000,83,2
13583,5.9787,379.24894,826200,83,3
13691,6.0988,401.26206,650700,83,4
13829,6.2129,423.2752,439200,83,5
13918,6.3195,445.28836,288900,83,6
13994,6.4197,467.30159,169900,83,7
14106,6.515,489.31455,94190,83,8
14191,6.6053,511.32767,49890,83,9
14275,6.6922,533.34074,19990,83,10
14342,6.7764,555.35386,11580,83,11
19122,9.8849,335.2193,632000,82,1
20567,10.1692,377.26726,117000,82,2
22497,10.403,419.31567,46520,82,3
23794,10.623,461.36275,88280,82,4
24435,10.7951,503.40981,27860,82,5
24407,10.7832,333.22479,13620,81,1
25252,10.9941,361.25604,8710,81,2
26313,11.2745,389.28743,11140,81,3
27228,11.5296,417.31868,10820,81,4
28334,11.9138,445.35016,10220,81,5
13202,5.4931,333.20706,26730,80,1
13285,5.6418,355.22021,218900,80,2
13403,5.7803,377.23335,446500,80,3
13515,5.9084,399.24643,564600,80,4
13647,6.0302,421.25956,596000,80,5
13766,6.1435,443.27267,481000,80,6
13855,6.2497,465.28581,372600,80,7
13936,6.3515,487.29889,254900,80,8
14023,6.4463,509.31201,164100,80,9
14134,6.539,531.32513,90230,80,10
14202,6.6256,553.33826,43680,80,11
14291,6.7071,575.3513,24540,80,12
19180,9.9529,330.30023,54950,79,1
20870,10.201,344.31606,36940,79,2
22314,10.4065,358.33164,27480,79,3
23930,10.5952,372.34734,144700,79,4
24325,10.7807,386.36294,24290,79,5
18906,9.908,330.26397,4853000,78,1
20032,10.1508,358.2949,658200,78,2
21900,10.3763,386.32663,135900,78,3
23521,10.5704,414.35784,8334,78,4
24451,10.7804,442.38918,5025,78,5
11936,4.0329,328.23309,24090,77,1
12297,4.3283,372.25937,36300,77,2
12539,4.5938,416.28558,165300,77,3
12755,4.8279,460.31183,404100,77,4
12914,5.0392,504.33804,538700,77,5
13045,5.2307,548.36427,468600,77,6
13145,5.4056,592.39042,285900,77,7
13231,5.5651,636.41661,158700,77,8
13323,5.7125,680.4428,85230,77,9
13463,5.8504,724.46893,32420,77,10
18993,9.863,327.26824,257500,76,1
20694,10.1449,357.2787,24950000,76,2
21253,10.2621,387.2894,7483,76,3
22039,10.3854,417.29925,35800,76,4
23070,10.5192,447.31052,13160,76,5
13318,5.7143,327.21115,65370,75,1
13446,5.8512,349.22431,157300,75,2
13586,5.9806,371.23739,106300,75,3
13694,6.1008,393.25054,80670,75,4
13834,6.214,415.26359,42800,75,5
13921,6.319,437.27673,27290,75,6
13321,5.7143,326.70942,244400,74,1
13447,5.8503,348.72255,454000,74,2
13588,5.9785,370.73569,310100,74,3
13700,6.1012,392.74879,217000,74,4
13835,6.2127,414.76195,123600,74,5
13917,6.3206,436.77502,73520,74,6
13993,6.4202,458.78823,33220,74,7
13331,5.7143,318.19615,126700,73,1
13444,5.8502,340.20926,184700,73,2
13594,5.9816,362.22239,96300,73,3
13698,6.1022,384.2355,47930,73,4
13837,6.2137,406.24869,18930,73,5
11937,4.0314,305.15725,18610,72,1
12296,4.3272,349.18337,20230,72,2
12540,4.5933,393.20963,110900,72,3
12761,4.8294,437.23586,265800,72,4
12912,5.0387,481.26206,356700,72,5
13044,5.2312,525.28831,312500,72,6
13141,5.4051,569.31453,195700,72,7
13230,5.5651,613.34076,119100,72,8
13324,5.7135,657.36683,53630,72,9
13467,5.8514,701.3931,23290,72,10
10083,3.1274,304.15038,35570,71,1
10720,3.4104,318.16605,59490,71,2
11576,3.7963,332.18167,16650,71,3
12267,4.3224,346.1974,56790,71,4
12875,4.9818,360.21306,43430,71,5
19931,10.0617,303.30872,790900,70,1
21094,10.2543,317.32445,29500,70,2
23482,10.5584,331.34008,3010000,70,3
25385,10.9677,345.35573,25710,70,4
27199,11.4812,359.37134,298000,70,5
19159,9.9414,302.3054,78020,69,1
20932,10.2221,316.3211,93890,69,2
22736,10.4646,330.33672,7981000,69,3
24159,10.6819,344.3524,151000,69,4
24678,10.8029,358.36801,2022000,69,5
18268,9.6231,302.26907,202200,68,1
18857,9.8399,316.28474,5373,68,2
19648,10.066,330.30029,64560,68,3
