peak_id,rt,mz,intensity,homologue_id,within_series_id
13970,6.3765,606.87143,649900,292,8
14046,6.4555,628.88446,798400,292,9
14123,6.5294,650.89751,870000,292,10
14182,6.5999,672.9106,817100,292,11
14237,6.6691,694.9236,676200,292,12
14319,6.7401,716.93676,751700,292,13
14367,6.8011,738.94987,526600,292,14
14430,6.8618,760.96289,330300,292,15
14528,6.92,782.97595,212000,292,16
14589,6.98,804.98926,113500,292,17
14580,7.0313,827.00246,51790,292,18
14710,7.0718,849.01589,32910,292,19
24275,10.7133,452.39469,51080,291,1
25397,10.9935,496.4209,676500,291,2
26186,11.1432,540.44719,276300,291,3
26402,11.2261,584.47339,280300,291,4
26602,11.2907,628.49972,254100,291,5
13338,5.7108,452.27794,61010,290,1
13533,5.9272,496.30419,243000,290,2
13725,6.1199,540.33043,548000,290,3
13903,6.2934,584.35654,1002000,290,4
14039,6.4528,628.38274,1174000,290,5
14183,6.6008,672.40888,1203000,290,6
14317,6.7361,716.43499,1017000,290,7
14429,6.8608,760.46121,376600,290,8
14597,6.9828,804.48754,148900,290,9
14634,7.0769,848.51434,40060,290,10
17899,9.4131,449.28965,25310,289,1
18211,9.6063,477.32118,42150,289,2
18693,9.817,505.35261,48210,289,3
20216,10.1183,533.38372,93220,289,4
23166,10.5429,561.41504,50860,289,5
25427,10.9988,589.44605,17270,289,6
20357,10.1315,449.28764,595400,288,1
21813,10.3281,477.31925,320200,288,2
22957,10.4965,505.35095,710100,288,3
23790,10.579,533.38326,134700,288,4
23916,10.6146,561.41496,34280,288,5
19579,10.0246,448.27579,8819,287,1
21670,10.3106,504.33828,147000,287,2
24191,10.6531,560.40109,21250,287,3
25450,11.0018,616.4631,6689,287,4
26881,11.4,672.52615,204200,287,5
20075,10.099,448.27554,8113,286,1
21964,10.3056,476.30696,28920,286,2
