Source,Target,clique
24539,24541,True
28651,28662,True
6761,6765,True
28670,28675,True
14821,14825,True
11603,11634,True
18151,18156,True
29110,29132,True
24844,25032,True
13509,13513,True
18144,18153,True
26103,26390,True
12368,12376,True
20774,20844,True
2757,2786,True
3677,3695,True
6538,6548,True
12938,12943,True
14617,14621,True
3267,3302,True
12960,12961,True
14661,14664,True
14847,14854,True
14100,14102,True
31809,31815,True
24908,24909,True
13284,13287,True
4363,4373,True
18139,18159,True
6005,6206,True
2765,2768,True
12073,12091,True
11364,11365,True
18151,18169,True
8874,8950,True
25244,25245,True
12454,12456,True
18135,18161,True
30443,30452,True
29116,29125,True
14965,14967,True
11357,11362,True
6756,6784,True
20425,20444,True
29925,29937,True
13587,13594,True
13351,13354,True
25520,25530,True
17242,17247,True
6881,6900,True
22114,22288,True
2772,2784,True
