Node,clique_id
5558,2214124_3
5246,2213669_9
5234,2213645_4
5282,2213670_4
5263,2213707_6
5265,2213673_6
5391,2213703_10
5304,2213831_6
5322,2213862_4
5326,2213801_5
5319,2213848_3
5315,2213855_7
5295,2213735_4
5308,2213743_4
5343,2213841_5
5288,2213773_2
5293,2213773_2
5296,2213776_6
5347,2213875_4
5291,2213806_5
5342,2213879_5
5340,2213841_5
5294,2213809_3
5323,2213848_3
5341,2213875_4
5330,2213833_4
5334,2213875_4
5348,2213940_8
5314,2213848_3
5318,2213862_4
5363,2214047_5
5346,2213859_5
5367,2214051_3
5409,2214052_7
5395,2214057_6
5389,2214061_6
5416,2214064_4
5406,2214067_2
5522,2214067_2
5461,2214082_3
5482,2214082_3
5470,2214082_3
5469,2214086_3
5465,2214085_2
5477,2214085_2
5495,2214104_9
5485,2214097_10
5504,2214104_9
5476,2214088_6
5510,2214107_6
5505,2214107_6
5503,2214107_6
5515,2214107_6
5483,2214093_4
5507,2214101_7
5498,2214104_9
5484,2214096_8
5496,2214104_9
5497,2214105_6
5489,2214101_7
5513,2214107_6
5487,2214099_4
5509,2214107_6
5506,2214104_9
5501,2214106_3
5537,2214112_2
5557,2214112_2
5543,2214114_6
5567,2214121_6
5556,2214121_6
5564,2214124_3
5552,2214121_6
5548,2214119_6
5550,2214121_6
5547,2214116_5
5554,2214121_6
5553,2214117_3
5568,2214120_6
5766,2214121_6
5565,2214124_3
5583,2214129_2
5812,2214129_2
5594,2214135_4
5586,2214134_6
5598,2214134_6
5595,2214133_5
5597,2214134_6
5592,2214134_6
5590,2214135_4
5794,2214131_6
5600,2214138_3
5617,2214140_3
5625,2214143_3
5613,2214141_3
5615,2214141_3
5629,2214141_3
5614,2214143_3
5635,2214142_3
5620,2214143_3
5663,2214154_5
5667,2214157_7
5678,2214158_4
5672,2214158_4
5679,2214158_4
5694,2214157_7
5687,2214157_7
5674,2214157_7
5684,2214157_7
5668,2214158_4
5742,2214181_4
5733,2214176_3
5749,2214182_4
5746,2214182_4
5747,2214181_4
5753,2214184_3
5760,2214184_3
5761,2214184_3
5787,2214192_3
5788,2214192_3
5795,2214193_3
5801,2214195_3
5802,2214195_3
5845,2214195_3
5862,2214215_3
5865,2214213_3
5837,2214205_5
5866,2214212_5
5873,2214212_5
5870,2214214_3
5846,2214208_2
5856,2214208_2
5853,2214209_5
5869,2214215_3
5879,2214215_3
5877,2214213_3
5923,2214236_4
5911,2214227_4
5908,2214231_3
5909,2214233_3
5919,2214235_3
5914,2214227_4
5941,2214240_3
5925,2214237_4
5929,2214237_4
5940,2214240_3
5949,2214240_3
6002,2214258_4
5992,2214255_5
5998,2214258_4
6206,2214257_5
6003,2214258_4
6005,2214257_5
6009,2214258_4
6008,2214257_5
6048,2214275_6
6049,2214273_8
6060,2214276_6
6051,2214276_6
6239,2214283_5
6062,2214283_5
6050,2214277_5
6059,2214283_5
6065,2214283_5
6053,2214277_5
6061,2214277_5
6075,2214294_4
6077,2214291_5
6066,2214286_3
6071,2214291_5
6078,2214294_4
6080,2214298_4
6079,2214297_5
6099,2214298_4
6083,2214301_3
6073,2214293_3
6085,2214297_5
6314,2214301_3
6084,2214301_3
6088,2214306_3
